title,title_characters,author,journal,number,cites,year,pubid,name,scholar_id
genetic taxonomic studies gilia vii woodland gilias,64,"V Grant, A Grant",Aliso: A Journal of Systematic and Floristic Botany,"3 (1), 59-91",34,1954,Wp0gIr-vW9MC,Verne Grant,"""8Qb6gMkAAAAJ"""
genetic taxonomic studies gilia iv gilia achilleaefolia,64,V Grant,Aliso: A Journal of Systematic and Floristic Botany,"3 (1), 1-18",59,1954,HDshCWvjkbEC,Verne Grant,"""8Qb6gMkAAAAJ"""
genetic taxonomic studies gilia vi interspecific relationships leafystemmed gilias,99,V Grant,Aliso: A Journal of Systematic and Floristic Botany,"3 (1), 35-49",26,1954,Tyk-4Ss8FVUC,Verne Grant,"""8Qb6gMkAAAAJ"""
crossfertilization,19,V Grant,,,2,1955,5ugPr518TE4C,Verne Grant,"""8Qb6gMkAAAAJ"""
 genus allophyllum polemoniaceae,37,"A Grant, V Grant",Aliso: A Journal of Systematic and Floristic Botany,"3 (2), 93-110",21,1955,M3ejUd6NZC8C,Verne Grant,"""8Qb6gMkAAAAJ"""
 synopsis ipomopsis,23,V Grant,Aliso: A Journal of Systematic and Floristic Botany,"3 (3), 351-362",46,1956,UebtZRa9Y70C,Verne Grant,"""8Qb6gMkAAAAJ"""
chromosome repatterning adaptation,38,V Grant,Advances in Genetics,"8, 89-107",40,1956,kNdYIx-mwKoC,Verne Grant,"""8Qb6gMkAAAAJ"""
 development theory heredity,39,V Grant,American Scientist,"44 (2), 158-179",14,1956,u5HHmVD_uO8C,Verne Grant,"""8Qb6gMkAAAAJ"""
 genetic structure races species gilia,51,V Grant,Advances in Genetics,"8, 55-87",42,1956,QIV2ME_5wuYC,Verne Grant,"""8Qb6gMkAAAAJ"""
genetic taxonomic studies gilia viii cobwebby gilias,65,"A Grant, V Grant",Aliso: A Journal of Systematic and Floristic Botany,"3 (3), 203-287",47,1956,WbkHhVStYXYC,Verne Grant,"""8Qb6gMkAAAAJ"""
genetic taxonomic studies gilia x conspectus subgenus gilia,75,"V Grant, A Grant",Aliso: A Journal of Systematic and Floristic Botany,"3 (3), 297-300",4,1956,mVmsd5A6BfQC,Verne Grant,"""8Qb6gMkAAAAJ"""
 influence breeding habit outcome natural hybridization plants,81,V Grant,The American Naturalist,"90 (854), 319-322",66,1956,aqlVkmm33-oC,Verne Grant,"""8Qb6gMkAAAAJ"""
genetic taxonomic studies gilia ix chromosome numbers cobwebby gilias,85,"V Grant, RM Beeks, HL Latimer",Aliso: A Journal of Systematic and Floristic Botany,"3 (3), 289-296",8,1956,_B80troHkn4C,Verne Grant,"""8Qb6gMkAAAAJ"""
 plant species theory practice,40,V Grant,The species problem,39,160,1957,ldfaerwXgEUC,Verne Grant,"""8Qb6gMkAAAAJ"""
floral ecology,14,V Grant,Ecology,"39 (4), 778-779",1,1958,LjlpjdlvIbIC,Verne Grant,"""8Qb6gMkAAAAJ"""
 regulation recombination plants,41,V Grant,Cold Spring Harbor Symposia on Quantitative Biology,"23, 337-363",420,1958,iH-uZ7U-co4C,Verne Grant,"""8Qb6gMkAAAAJ"""
natural history family,29,V Grant,Nijhoff,,2,1959,SpbeaW3--B0C,Verne Grant,"""8Qb6gMkAAAAJ"""
origins angiospermous plants,31,V Grant,Evolution,"13 (2), 281-282",1,1959,eq2jaN3J8jMC,Verne Grant,"""8Qb6gMkAAAAJ"""
pine siskins killing forest tent caterpillars,45,J Grant,Journal of the Entomological Society of British Columbia,"56, 20-20",2,1959,wvYxNZNCP7wC,Jacqualine Grant,"""N5S7rbgAAAAJ"""
natural history phlox family vol systematic botany,63,V Grant,,,11,1959,TFP_iSt0sucC,Verne Grant,"""8Qb6gMkAAAAJ"""
natural history phlox family volume systematic botany,65,V Grant,Brittonia,"11 (3), 191",4,1959,_kc_bZDykSQC,Verne Grant,"""8Qb6gMkAAAAJ"""
evolutionary morphology plants,33,V Grant,Evolution,"14 (1), 139-140",1,1960,Zph67rFs4hoC,Verne Grant,"""8Qb6gMkAAAAJ"""
cytotaxonomic observations goldback fern,47,"KS Alt, V Grant",Brittonia,153-170,31,1960,NhqRSupF_l8C,Verne Grant,"""8Qb6gMkAAAAJ"""
 note eulonchus crisis lb diptera cyrtidae,50,J Grant,Journal of the Entomological Society of British Columbia,"57, 33-33",1,1960,PkcyUWeTMh0C,Jacqualine Grant,"""N5S7rbgAAAAJ"""
genetic taxonomic studies gilia xi fertility relationships diploid cobwebby gilias,98,"V Grant, A Grant",Aliso: A Journal of Systematic and Floristic Botany,"4 (3), 435-481",55,1960,VL0QpB8kHFEC,Verne Grant,"""8Qb6gMkAAAAJ"""
 diversity pollination systems phlox family,56,V Grant,University of Toronto Press,,5,1961,WF5omc3nYNoC,Verne Grant,"""8Qb6gMkAAAAJ"""
statistics dermatomycoses hokuriku district,53,"S Namiki, H Takahashi",Iryo,"16, 396-406",1,1962,9ZlFYXVOiuMC,Shigehiro NAMIKI,"""9skHVVIAAAAJ"""
 origin adaptations,26,V Grant,,,909,1963,ZeXyd9-uunAC,Verne Grant,"""8Qb6gMkAAAAJ"""
 laboulbeniaceae ascomycetes insects india indonesia,70,SWT Batra,American Journal of Botany,"50 (10), 986-992",21,1963,WF5omc3nYNoC,Suzanne WT Batra,"""Enyt8nAAAAAJ"""
holopleura marginata lec reared douglasfir coleoptera cerambycidae,76,J Grant,Journal of the Entomological Society of British Columbia,"60, 18-18",1,1963,UuEBAcK4md4C,Jacqualine Grant,"""N5S7rbgAAAAJ"""
 eletroforese em papel como elemento complementar na elaboracao diagnostico da raiva humana,95,"PV Andrade, CG Machado, AA Aguiar",Arq. Hig,145-153,1,1963,_xSYboBqXhAC,Caio Graco Machado,"""OI3xhIQAAAAJ"""
leafy spurge,12,RW Pemberton,Biological Control in the Western United States: Accomplishments and …,,8,1964,LjlpjdlvIbIC,robert pemberton,"""EJcxNNcAAAAJ"""
 architecture germplasm,33,V Grant,Soil Science,"98 (3), 212",49,1964,SeFeTyx0c_EC,Verne Grant,"""8Qb6gMkAAAAJ"""
statistical observations herpes zoster varicella,55,"S Namiki, H Takahashi",Hifuka kiyo. Acta dermatologica,"59, 31-36",3,1964,4DMP91E08xMC,Shigehiro NAMIKI,"""9skHVVIAAAAJ"""
 biological composition taxonomic species gilia,58,V Grant,Advances in Genetics,"12, 281-328",30,1964,maZDTaKrznsC,Verne Grant,"""8Qb6gMkAAAAJ"""
mechanical isolation salvia apiana salvia mellifera labiatae,69,"KA Grant, V Grant",Evolution,196-212,102,1964,YFjsv_pBGBYC,Verne Grant,"""8Qb6gMkAAAAJ"""
behavior social bee lasioglossum zephyrum within nest hymenoptera halictidae,92,SWT Batra,Insectes Sociaux,"11 (2), 159-185",145,1964,zYLM7Y9cAGgC,Suzanne WT Batra,"""Enyt8nAAAAAJ"""
 life cycle behavior primitively social bee lasioglossum zephyrum halictidae,93,SWT BATRA,University of Kansas,,145,1964,lSLTfruPkqcC,Suzanne WT Batra,"""Enyt8nAAAAAJ"""
genetic taxonomic studies gilia xii fertility relationships polyploid cobwebby gilias,101,V Grant,Aliso: A Journal of Systematic and Floristic Botany,"5 (4), 479-507",14,1964,bEWYMUwI8FkC,Verne Grant,"""8Qb6gMkAAAAJ"""
kesselfallenblumen,18,S Vogel,Umschau in Wissenschaft und Technik,"65, 12-17",40,1965,zA6iFVUQeVQC,Stefan Vogel,"""PqUQMY4AAAAJ"""
flower pollination phlox family,38,"V Grant, KA Grant",Columbia University Press,,836,1965,JoZmwDi-zQgC,Verne Grant,"""8Qb6gMkAAAAJ"""
first record leaden flycatcher south australia,56,D Paton,Emu-Austral Ornithology,"64 (4), 320-321",2,1965,HDshCWvjkbEC,David C. Paton,"""uIa2XpUAAAAJ"""
 vitro fertilization seed formation petunia violacea lindl,67,KR Shivanna,Phytomorphology,"15, 183-185",25,1965,hFOr9nPyWt4C,Shivanna K R,"""rdN6MzEAAAAJ"""
species hybrids spontaneous amphiploids gilia laciniata group,72,V Grant,Heredity,"20 (4), 537-550",20,1965,5awf1xo2G04C,Verne Grant,"""8Qb6gMkAAAAJ"""
organisms associated lasioglossum zephyrum hymenoptera halictidae,73,SWT Batra,Journal of the Kansas Entomological Society,367-389,77,1965,HoB7MX3m0LUC,Suzanne WT Batra,"""Enyt8nAAAAAJ"""
evidence selective origin incompatibility barriers leafystemmed gilias,90,V Grant,Proceedings of the National Academy of Sciences,"54 (6), 1567-1571",12,1965,4OULZ7Gr8RgC,Verne Grant,"""8Qb6gMkAAAAJ"""
block inheritance viability genes plant species,53,V Grant,The American Naturalist,"100 (916), 591-601",16,1966,4fKUyHm3Qg0C,Verne Grant,"""8Qb6gMkAAAAJ"""
fungusgrowing termites tropical india associated fungi,62,"LR Batra, SWT Batra",Journal of the Kansas Entomological Society,725-738,71,1966,abG-DnoFyZgC,Suzanne WT Batra,"""Enyt8nAAAAAJ"""
 origin new species gilia hybridization experiment,66,V Grant,Genetics,"54 (5), 1189",86,1966,70eg2SAEIzsC,Verne Grant,"""8Qb6gMkAAAAJ"""
linkage viability fertility species cross gilia,67,V Grant,Genetics,"54 (3), 867",14,1966,IjCSPb-OGe4C,Verne Grant,"""8Qb6gMkAAAAJ"""
streptomyces associated root nodules coriaria new zealand,69,"JD Allen, WB Silvester WB, K M",New Zealand Journal of Botany,"4, 57-65",21,1966,WqliGbK-hY8C,Mary T. K. Arroyo,"""tFVzdokAAAAJ"""
genetic taxonomic studies gilia xiii gilia laciniata group,71,V Grant,Aliso: A Journal of Systematic and Floristic Botany,"6 (2), 67-80",6,1966,M3NEmzRMIkIC,Verne Grant,"""8Qb6gMkAAAAJ"""
scent organs orchid flowers relation insect pollination,71,S Vogel,Proceedings of the,"5th World Orchid Conference, Long Beach (US), 253-259",23,1966,RGFaLdJalmkC,Stefan Vogel,"""PqUQMY4AAAAJ"""
 selective origin incompatibility barriers plant genus gilia,73,V Grant,The American Naturalist,"100 (911), 99-118",147,1966,ZHo1McVdvXMC,Verne Grant,"""8Qb6gMkAAAAJ"""
nests social behavior halictine bees india hymenoptera halictidae,78,SWT Batra,The Indian Journal of Entomology,"28, 375",198,1966,9ZlFYXVOiuMC,Suzanne WT Batra,"""Enyt8nAAAAAJ"""
social behavior nests nomiine bees india hymenoptera halictidae,81,SWT Batra,Insectes Sociaux,"13, 145-153",54,1966,ZHo1McVdvXMC,Suzanne WT Batra,"""Enyt8nAAAAAJ"""
selection vigor fertility progeny highly sterile species hybrid gilia,92,V Grant,Genetics,"53 (4), 757",52,1966,ufrVoPGSRksC,Verne Grant,"""8Qb6gMkAAAAJ"""
 nest description new bee systropha punjabensis india hymenoptera halictidae,97,"SWT Batra, CD Michener",Journal of the Kansas Entomological Society,650-658,18,1966,hqOjcs7Dif8C,Suzanne WT Batra,"""Enyt8nAAAAAJ"""
records hummingbird pollination western american flora california plant species,98,"V Grant, KA Grant",Aliso: A Journal of Systematic and Floristic Botany,"6 (2), 51-66",44,1966,Y5dfb0dijaUC,Verne Grant,"""8Qb6gMkAAAAJ"""
 hosts distribution root weevils hylobius pinicola couper h warreni wood british columbia,113,J Grant,Journal of the Entomological Society of British Columbia,"63, 3-4",12,1966,JTqpx9DYBaYC,Jacqualine Grant,"""N5S7rbgAAAAJ"""
 fungus gardens insects,29,"SWT Batra, LR Batra",Scientific American,"217 (5), 112-124",81,1967,IjCSPb-OGe4C,Suzanne WT Batra,"""Enyt8nAAAAAJ"""
embryogeny vitro angiosperms,34,"NS Rangaswamy, KR Shivanna",,,2,1967,Br1UauaknNIC,Shivanna K R,"""rdN6MzEAAAAJ"""
iris fulva kergawl eine kolibriblume,39,S Vogel,"Deutsche Iris- und Liliengesellschaft, Jahrbuch","1967, 48-57",2,1967,CHSYGLWDkRkC,Stefan Vogel,"""PqUQMY4AAAAJ"""
linkage morphology viability plant species,57,V Grant,The American Naturalist,"101 (918), 125-139",28,1967,2P1L_qKh6hAC,Verne Grant,"""8Qb6gMkAAAAJ"""
behavior social solitary halictine bees within nests,70,SWT Batra,American Zoologist,"7 (4), 806-&",1,1967,QIV2ME_5wuYC,Suzanne WT Batra,"""Enyt8nAAAAAJ"""
effects hummingbird migration plant speciation california flora,76,"KA Grant, V Grant",Evolution,457-465,46,1967,WqliGbK-hY8C,Verne Grant,"""8Qb6gMkAAAAJ"""
records hummingbird pollination western american flora iii arizona records,85,"KA Grant, V Grant",Aliso: A Journal of Systematic and Floristic Botany,"6 (3), 107-110",12,1967,1qzjygNMrQYC,Verne Grant,"""8Qb6gMkAAAAJ"""
crop pollination flower relationships wild bees ludhiana india hymenoptera apoidea,104,SWT Batra,Journal of the Kansas Entomological Society,164-177,62,1967,_kc_bZDykSQC,Suzanne WT Batra,"""Enyt8nAAAAAJ"""
induction gamete compatibility seed formation axenic cultures diploid selfincompatible species petunia,121,"NS Rangaswamy, KR Shivanna",Nature,"216 (5118), 937-939",84,1967,zYLM7Y9cAGgC,Shivanna K R,"""rdN6MzEAAAAJ"""
hummingbirds flowers,30,"KA Grant, V Grant",(No Title),,481,1968,0EnyYjriUFMC,Verne Grant,"""8Qb6gMkAAAAJ"""
 pink rose robins south australia,43,"J Paton, D Paton, M Waterman",S. Aust. Ornlth,"25, 19-20",2,1968,Aul-kAQHnToC,David C. Paton,"""uIa2XpUAAAAJ"""
chiropterophilie der neotropischen flora neue mitteilungen ,64,S Vogel,Flora. Abt. B,"157 (4), 562-602",106,1968,LkGwnXOMwfcC,Stefan Vogel,"""PqUQMY4AAAAJ"""
behavior social solitary halictine bees within nests comparative study hymenoptera halictidae,117,SWT Batra,Journal of the Kansas Entomological Society,120-133,90,1968,j3f4tGmQtD8C,Suzanne WT Batra,"""Enyt8nAAAAAJ"""
flowers offering fatty oil instead nectar,44,S Vogel,XI International Botanical Congress (IBC),"24 Aug. - 2 Sept. 1969, Seattle …",99,1969,P5F9QuxV20EC,Stefan Vogel,"""PqUQMY4AAAAJ"""
alkali bees response adults pathogenic fungi brood cells,66,"SWT Batra, GE Bohart",Science,"165 (3893), 607-608",41,1969,GnPB-g6toBAC,Suzanne WT Batra,"""Enyt8nAAAAAJ"""
chiropterophilie der neotropischen flora neue mitteilungen ii,66,S Vogel,"Flora, Abt. B","158, 185-222",175,1969,1sJd4Hv_s6UC,Stefan Vogel,"""PqUQMY4AAAAJ"""
chiropterophilie der neotropischen flora neue mitteilungen iii,67,S Vogel,Flora. Abt. B,"158 (4), 289-323",178,1969,r0BpntZqJG4C,Stefan Vogel,"""PqUQMY4AAAAJ"""
testtube fertilization dicranostigma franchetianum prain fedde,68,"NS Rangaswamy, KR Shivanna",Current Science,"38 (11), 257-259",22,1969,iH-uZ7U-co4C,Shivanna K R,"""rdN6MzEAAAAJ"""
overcoming selfincompatibility petunia axillaris delayed pollination pollination stored pollen bud pollination,130,"KR Shivanna, NS Rangaswamy",,,60,1969,0EnyYjriUFMC,Shivanna K R,"""rdN6MzEAAAAJ"""
brood care halictid bees,27,"SWT Batra, GE Bohart",Science,"168 (3933), 875-875",12,1970,u5HHmVD_uO8C,Suzanne WT Batra,"""Enyt8nAAAAAJ"""
behavioural thermoregulation high arctic butterflies,55,"PG Kevan, JD Shorthouse",Arctic,268-279,91,1970,HoB7MX3m0LUC,Peter Kevan,"""mbOeZkcAAAAJ"""
 hummingbirdpollinated species boraginaceae arizona flora,69,"V Grant, KA Grant",Proceedings of the National Academy of Sciences,"66 (3), 917-919",16,1970,q3oQSFYPqjQC,Verne Grant,"""8Qb6gMkAAAAJ"""
behavior alkali bee nomia melanderi within nest hymenoptera halictidae,86,SWT Batra,Annals of the Entomological Society of America,"63 (2), 400-406",44,1970,MXK_kJrjxJIC,Suzanne WT Batra,"""Enyt8nAAAAAJ"""
collembola pollen feeders flower visitors observations high arctic,87,PG Kevan,Quaestiones entomologicae,"6, 311-326",34,1970,kz9GbA2Ns4gC,Peter Kevan,"""mbOeZkcAAAAJ"""
alguns aspectos epidemiologicos da exposicao humana ao risco da infeccao pelo virus da raiva na cidade de sao paulo,116,"A Ribeiro Netto, CG Machado",Rev. Inst. Med. Trop. Säo Paulo,16-30,23,1970,NaGl4SEjCO4C,Caio Graco Machado,"""OI3xhIQAAAAJ"""
productivity conservation northern circumpolar lands proceedings conference edmonton alberta october ,127,"WA Fuller, PG Kevan",IUCN: International Union for Conservation of Nature,,15,1970,eQOLeE2rZwMC,Peter Kevan,"""mbOeZkcAAAAJ"""
high arctic insectflower relations interrelationships arthropods flowers lake hazen ellesmere island nwt canada,131,PG Kevan,,,49,1970,isC4tDSrTZIC,Peter Kevan,"""mbOeZkcAAAAJ"""
 evolutionary species,24,V Grant,"Plant Speciation: Columbia University Press, New York",37-45,3,1971,4JMBOYKVnBMC,Verne Grant,"""8Qb6gMkAAAAJ"""
plant speciation st edn new york,34,V Grant,NY: Columbia University Press.[Google Scholar],,2,1971,OTTXONDVkokC,Verne Grant,"""8Qb6gMkAAAAJ"""
vehicle tracks high arctic tundra,36,PG Kevan,"Defence Research Board, Ottawa, Canada,"" Hazen",41,5,1971,kzcrU_BdoSEC,Peter Kevan,"""mbOeZkcAAAAJ"""
dynamics clonal microspecies cholla cactus,48,"V Grant, KA Grant",Evolution,144-155,40,1971,wbdj-CoPYUoC,Verne Grant,"""8Qb6gMkAAAAJ"""
 variability relationships solanum caripense,54,GJ Anderson,Indiana University,,2,1971,Fu2w8maKXqMC,gregory Anderson,"""pH6mu0sAAAAJ"""
behavior ecology fungusgrowing termites termitidaemacrotermitinae,76,SWT Batra,American Zoologist,"11 (4), 642-&",5,1971,M3ejUd6NZC8C,Suzanne WT Batra,"""Enyt8nAAAAAJ"""
overcoming self incompatibility petunia axillaris ii placental pollination vitro,88,NS Rangaswamy,J. Inidian Bot. Soc.,"50, 286-296",33,1971,uWiczbcajpAC,Shivanna K R,"""rdN6MzEAAAAJ"""
overcoming selfincompatibility petunia axillaris iii twosite pollinations vitro,90,"NS Rangaswamy, KR Shivanna",,,28,1971,U_HPUtbDl20C,Shivanna K R,"""rdN6MzEAAAAJ"""
overcoming selfincompatibility petunia differential treatment vitro whole placentae,94,KR Shivanna,Experientia,"27 (7), 864-865",10,1971,_xSYboBqXhAC,Shivanna K R,"""rdN6MzEAAAAJ"""
natural hybridization cholla cactus species opuntia spinosior opuntia versicolor,96,"V Grant, KA Grant",Proceedings of the National Academy of Sciences,"68 (9), 1993-1995",33,1971,u9iWguZQMMsC,Verne Grant,"""8Qb6gMkAAAAJ"""
vehicle tracks high arctic tundra year case history around hazen camp ellesmere island nwt,102,PG Kevan,"Defence Research Board, Department of National Defence",,3,1971,3fE2CSJIrl8C,Peter Kevan,"""mbOeZkcAAAAJ"""
heliotropism arctic flowers,35,PG Kevan,Can Field Nat,"86, 41-44",42,1972,yD5IFk8b50cC,Peter Kevan,"""mbOeZkcAAAAJ"""
insect pollination high arctic flowers,41,PG Kevan,The Journal of Ecology,831-847,355,1972,TFP_iSt0sucC,Peter Kevan,"""mbOeZkcAAAAJ"""
collembola flowers banks island nwt,42,PG Kevan,Quaestiones Entomologicae,"6, 311-326",4,1972,sJsF-0ZLhtgC,Peter Kevan,"""mbOeZkcAAAAJ"""
effect nonionic surfactants pollen germination pollen tube growth,76,KR Shivanna,Current Science,"41, 609-610",19,1972,pqnbT2bcN3wC,Shivanna K R,"""rdN6MzEAAAAJ"""
 new species periandra leguminosae lotoideae planalto brazil,80,"HS Irwin, MTK Arroyo",Brittonia,"24 (3), 327-329",1,1972,ye4kPcJQO24C,Mary T. K. Arroyo,"""tFVzdokAAAAJ"""
notes behavior ecology mantispid climaciella brunnea occidentalis,84,SWT Batra,Journal of the Kansas Entomological Society,334-340,31,1972,qUcmZB5y_30C,Suzanne WT Batra,"""Enyt8nAAAAAJ"""
pollination von orchis papilionacea l den schwarmbahnen von eucera tuberculata f,85,S Vogel,Jahresberichte des Naturwissenschaftlichen Vereins in Wuppertal,"25, 67-74",46,1972,ldfaerwXgEUC,Stefan Vogel,"""PqUQMY4AAAAJ"""
 properties nestbuilding secretions nomia anthophora hylaeus bees,92,SWT Batra,Journal of the Kansas Entomological Society,208-218,30,1972,RYcK_YlVTxYC,Suzanne WT Batra,"""Enyt8nAAAAAJ"""
insectflowerfungus relationships transmission smut ustilago violacea flowervisiting insects high arctic,133,"PG Kevan, JA Parmelee",,,10,1972,0KyAp5RtaNEC,Peter Kevan,"""mbOeZkcAAAAJ"""
loading tool loading fork,34,"B Strandberg, M Strandberg",US Patent,"3,709,394",7,1973,vRqMK49ujn8C,Beate Strandberg,"""HayUP6sAAAAJ"""
fungus gnat flowers fungus mimesis,38,S Vogel,"In: BRANTJES, N. B. M., LINSKENS, H. F. (eds.): Pollination and dispersal …",,20,1973,UxriW0iASnsC,Stefan Vogel,"""PqUQMY4AAAAJ"""
 mycoflora domesticated wild bees apoidea,53,"LR Batra, SWT Batra, GE Bohart",Mycopathologia et Mycologia applicata,"49, 13-44",188,1973,4JMBOYKVnBMC,Suzanne WT Batra,"""Enyt8nAAAAAJ"""
parasitoid wasps flower visitors canadian high arctic,63,PG Kevan,"Anzeiger für Schädlingskunde, Pflanzen-und Umweltschutz","46, 3-7",42,1973,_Re3VWB3Y0AC,Peter Kevan,"""mbOeZkcAAAAJ"""
flowers insects pollination ecology canadian high arctic,69,PG Kevan,Polar Record,"16 (104), 667-674",57,1973,kuK5TVdYjLIC,Peter Kevan,"""mbOeZkcAAAAJ"""
chiasma frequency evidence evolution autogamy limnanthes floccosa limnanthaceae,95,MTK Arroyo,Evolution,27 (679-688),116,1973,1yQoGdGgb4wC,Mary T. K. Arroyo,"""tFVzdokAAAAJ"""
 taximetric study infraspecific variation autogamous limnanthes floccosa limnanthaceae,96,MTK Arroyo,Brittonia,25 (177-191),54,1973,PR6Y55bgFSsC,Mary T. K. Arroyo,"""tFVzdokAAAAJ"""
effect morphactin pollen germination pollen tube growth tobacco nicotiana rustica l,100,KR Shivanna,,,6,1973,V3AGJWp-ZtQC,Shivanna K R,"""rdN6MzEAAAAJ"""
color brightness floral characteristics attracting insects blossoms canadian weeds,109,"GA Mulligan, PG Kevan",Canadian Journal of Botany,"51 (10), 1939-1952",127,1973,Bg7qf7VwUHIC,Peter Kevan,"""mbOeZkcAAAAJ"""
new endemic species harpalyce leguminosae brongniartieae southcentral brazil key brazilian species,125,"HS Irwin, MTK Arroyo",Brittonia,"25 (1), 21-25",5,1973,ZuybSZzF8UAC,Mary T. K. Arroyo,"""tFVzdokAAAAJ"""
irwin h s mtk arroyo new endemic species harpalyce leguminosae brongniartieae southcentral brazil key brazilian species,161,"HS Irwin, MTK Arroyo",Brittonia,"55 (1), 21-25",5,1973,VL0QpB8kHFEC,Mary T. K. Arroyo,"""tFVzdokAAAAJ"""
cystopteris bulbifera new nebraska,37,GJ Anderson,American fern journal,,5,1974,PELIpwtuRlgC,gregory Anderson,"""pH6mu0sAAAAJ"""
bees blueberries birds budworms,38,PG Kevan,Osprey (Newfound. Hist. Soc. Newsl.),"5, 54-72",16,1974,IaI1MmNe2tcC,Peter Kevan,"""mbOeZkcAAAAJ"""
solutions costofselection dilemma,42,"V Grant, RH Flake",Proceedings of the National Academy of Sciences,"71 (10), 3863-3865",16,1974,a0OBvERweLwC,Verne Grant,"""8Qb6gMkAAAAJ"""
peary caribou muskoxen banks island,42,PG Kevan,Arctic,256-264,27,1974,WF5omc3nYNoC,Peter Kevan,"""mbOeZkcAAAAJ"""
three new legume species south america,43,"HS Irwin, A MTK",Brittonia,26 (264-270),7,1974,hkOj_22Ku90C,Mary T. K. Arroyo,"""tFVzdokAAAAJ"""
 analysis costofselection concept,44,"RH Flake, V Grant",Proceedings of the National Academy of Sciences,"71 (9), 3716-3720",12,1974,mB3voiENLucC,Verne Grant,"""8Qb6gMkAAAAJ"""
anatomia foliar de kentrothamnus rhamnaceae,45,POR DIEGOMEDAN,Boletin de la Sociedad Argentina de Botánica,"16 (1-2), 83-88",8,1974,7xtfDMUJqJkC,Medan Diego,"""GfiU00IAAAAJ"""
studies foraging efficiency animals,45,GH PYKE,(PhD dissertation). University of Chicago,,8,1974,SeFeTyx0c_EC,"Pyke, Graham H.","""RDpVYUMAAAAJ"""
experimental studies pollen fertilization,49,"BM Johri, KR Shivanna",,,3,1974,Mojj43d5GZwC,Shivanna K R,"""rdN6MzEAAAAJ"""
pollination pesticides environmental quality,50,PG Kevan,BioScience,"24 (4), 198-199",19,1974,08ZZubdj9fEC,Peter Kevan,"""mbOeZkcAAAAJ"""
population structure relation cost selection,53,"V Grant, RH Flake",Proceedings of the National Academy of Sciences,"71 (5), 1670-1671",12,1974,W7OEmFMy1HYC,Verne Grant,"""8Qb6gMkAAAAJ"""
biological control carduus thistles along roadsides northeastern states,77,SWT Batra,Journal of Science,"25, 152-160",1,1974,aqlVkmm33-oC,Suzanne WT Batra,"""Enyt8nAAAAAJ"""
