Keyword,year,frequency,cites
pollination,1984,4,361
pollination,1985,6,702
pollination,1986,8,383
pollination,1987,8,269
pollination,1988,9,543
pollination,1989,10,642
pollination,1990,10,974
pollination,1991,16,1058
pollination,1992,7,409
pollination,1993,13,1076
pollination,1994,8,646
pollination,1995,16,1753
pollination,1996,15,3216
pollination,1997,15,1285
pollination,1998,9,929
pollination,1999,6,750
pollination,2000,26,3785
pollination,2001,16,1507
pollination,2002,11,796
pollination,2003,13,2597
pollination,2004,26,4661
pollination,2005,25,3376
pollination,2006,33,3095
pollination,2007,38,2836
pollination,2008,30,5050
pollination,2009,42,5768
pollination,2010,39,3116
pollination,2011,42,4705
pollination,2012,41,2565
pollination,2013,39,3639
pollination,2014,45,3743
pollination,2015,48,3846
pollination,2016,56,2923
pollination,2017,44,2558
pollination,2018,52,2082
pollination,2019,56,2192
pollination,2020,40,1606
pollination,2021,49,998
pollination,2022,46,562
pollination,2023,42,266
pollination,2024,10,18
pollinator,1978,1,285
pollinator,1979,2,303
pollinator,1980,2,262
pollinator,1982,2,89
pollinator,1983,2,1316
pollinator,1984,2,205
pollinator,1985,1,114
pollinator,1986,1,3
pollinator,1987,4,186
pollinator,1988,2,62
pollinator,1989,4,117
pollinator,1990,4,285
pollinator,1991,3,197
pollinator,1992,3,206
pollinator,1993,6,449
pollinator,1994,6,134
pollinator,1995,7,165
pollinator,1996,12,656
pollinator,1997,4,1341
pollinator,1998,7,1797
pollinator,1999,6,1753
pollinator,2000,17,1536
pollinator,2001,17,3048
pollinator,2002,10,1225
pollinator,2003,12,2996
pollinator,2004,17,1579
pollinator,2005,14,1743
pollinator,2006,14,4850
pollinator,2007,20,9810
pollinator,2008,29,4041
pollinator,2009,34,4604
pollinator,2010,31,9976
pollinator,2011,26,3487
pollinator,2012,46,3722
pollinator,2013,58,10592
pollinator,2014,52,5776
pollinator,2015,41,4511
pollinator,2016,46,5609
pollinator,2017,58,5021
pollinator,2018,48,1717
pollinator,2019,62,3110
pollinator,2020,73,2970
pollinator,2021,80,2386
pollinator,2022,69,616
pollinator,2023,54,392
pollinator,2024,8,25
honey,1976,1,1
honey,1978,1,285
honey,1979,1,81
honey,1983,2,206
honey,1984,2,13
honey,1985,4,343
honey,1986,10,417
honey,1987,10,291
honey,1988,8,85
honey,1989,3,61
honey,1990,11,329
honey,1991,10,223
honey,1992,9,342
honey,1993,6,322
honey,1994,9,355
honey,1995,10,205
honey,1996,11,467
honey,1997,7,415
honey,1998,6,98
honey,1999,6,624
honey,2000,13,576
honey,2001,7,425
honey,2002,9,430
honey,2003,13,1415
honey,2004,14,1337
honey,2005,17,877
honey,2006,24,4118
honey,2007,22,4091
honey,2008,27,2149
honey,2009,26,4162
honey,2010,30,3853
honey,2011,24,2584
honey,2012,37,5478
honey,2013,34,6618
honey,2014,30,2514
honey,2015,35,2685
honey,2016,29,1990
honey,2017,38,2373
honey,2018,41,1881
honey,2019,51,1988
honey,2020,51,1489
honey,2021,60,1250
honey,2022,46,503
honey,2023,34,158
honey,2024,14,32
pollen,1969,1,60
pollen,1970,1,34
pollen,1972,1,19
pollen,1973,1,6
pollen,1974,3,46
pollen,1976,3,105
pollen,1977,5,168
pollen,1978,3,381
pollen,1979,1,24
pollen,1980,2,98
pollen,1981,4,528
pollen,1982,2,50
pollen,1983,6,98
pollen,1984,3,557
pollen,1985,9,988
pollen,1986,8,305
pollen,1987,7,374
pollen,1988,11,303
pollen,1989,10,1243
pollen,1990,13,774
pollen,1991,20,1569
pollen,1992,14,1525
pollen,1993,12,902
pollen,1994,14,1142
pollen,1995,12,669
pollen,1996,18,2481
pollen,1997,13,581
pollen,1998,8,694
pollen,1999,8,429
pollen,2000,18,2160
pollen,2001,15,2607
pollen,2002,10,809
pollen,2003,8,615
pollen,2004,12,3230
pollen,2005,13,2272
pollen,2006,17,1451
pollen,2007,15,1636
pollen,2008,15,1598
pollen,2009,21,1548
pollen,2010,20,1481
pollen,2011,13,1078
pollen,2012,21,1629
pollen,2013,20,715
pollen,2014,23,1328
pollen,2015,14,819
pollen,2016,35,2547
pollen,2017,30,1289
pollen,2018,30,1042
pollen,2019,30,1224
pollen,2020,38,1129
pollen,2021,30,600
pollen,2022,29,196
pollen,2023,25,136
pollen,2024,5,11
hymenoptera,1964,1,145
hymenoptera,1965,1,77
hymenoptera,1966,3,270
hymenoptera,1967,1,62
hymenoptera,1968,1,90
hymenoptera,1970,1,44
hymenoptera,1976,4,173
hymenoptera,1977,3,317
hymenoptera,1978,1,75
hymenoptera,1979,4,144
hymenoptera,1980,3,117
hymenoptera,1981,4,287
hymenoptera,1982,5,292
hymenoptera,1983,14,949
hymenoptera,1984,4,343
hymenoptera,1985,6,221
hymenoptera,1986,5,183
hymenoptera,1987,10,270
hymenoptera,1988,7,223
hymenoptera,1989,6,165
hymenoptera,1990,7,198
hymenoptera,1991,11,303
hymenoptera,1992,8,299
hymenoptera,1993,9,463
hymenoptera,1994,9,495
hymenoptera,1995,8,378
hymenoptera,1996,8,680
hymenoptera,1997,7,115
hymenoptera,1998,4,52
hymenoptera,1999,6,239
hymenoptera,2000,13,1308
hymenoptera,2001,9,757
hymenoptera,2002,5,459
hymenoptera,2003,18,952
hymenoptera,2004,24,1465
hymenoptera,2005,13,782
hymenoptera,2006,22,1301
hymenoptera,2007,32,863
hymenoptera,2008,32,1800
hymenoptera,2009,23,1240
hymenoptera,2010,24,1173
hymenoptera,2011,27,1080
hymenoptera,2012,35,1385
hymenoptera,2013,37,1617
hymenoptera,2014,37,906
hymenoptera,2015,28,694
hymenoptera,2016,26,485
hymenoptera,2017,35,767
hymenoptera,2018,26,553
hymenoptera,2019,28,523
hymenoptera,2020,30,312
hymenoptera,2021,21,146
hymenoptera,2022,19,117
hymenoptera,2023,30,155
hymenoptera,2024,2,2
floral,1958,1,1
floral,1973,1,127
floral,1974,1,156
floral,1978,3,228
floral,1979,1,54
floral,1980,1,125
floral,1983,2,262
floral,1984,1,31
floral,1985,5,365
floral,1986,7,466
floral,1987,1,28
floral,1988,3,93
floral,1989,3,208
floral,1990,1,31
floral,1991,4,963
floral,1992,5,401
floral,1993,9,270
floral,1994,6,1117
floral,1995,8,1362
floral,1996,9,1138
floral,1997,10,1372
floral,1998,11,840
floral,1999,5,310
floral,2000,6,429
floral,2001,9,657
floral,2002,10,744
floral,2003,12,1677
floral,2004,19,4558
floral,2005,16,1850
floral,2006,31,2943
floral,2007,22,1724
floral,2008,31,3060
floral,2009,32,3077
floral,2010,22,2144
floral,2011,17,780
floral,2012,25,1566
floral,2013,30,2242
floral,2014,36,2411
floral,2015,44,2724
floral,2016,40,2561
floral,2017,26,1103
floral,2018,20,923
floral,2019,34,1140
floral,2020,27,688
floral,2021,25,359
floral,2022,34,355
floral,2023,17,57
floral,2024,10,17
flower,1949,1,23
flower,1950,1,348
flower,1951,1,50
flower,1965,1,836
flower,1966,1,23
flower,1967,1,62
flower,1968,1,481
flower,1969,1,99
flower,1970,2,83
flower,1972,3,401
flower,1973,3,119
flower,1975,1,261
flower,1976,1,11
flower,1978,2,347
flower,1979,2,239
flower,1980,1,36
flower,1981,3,493
flower,1982,1,40
flower,1983,5,1948
flower,1984,1,90
flower,1985,5,766
flower,1986,4,282
flower,1987,1,450
flower,1988,4,168
flower,1989,5,400
flower,1990,6,396
flower,1991,5,145
flower,1992,8,609
flower,1993,8,439
flower,1994,6,993
flower,1995,7,800
flower,1996,9,836
flower,1997,5,562
flower,1998,9,741
flower,1999,4,179
flower,2000,9,534
flower,2001,12,2315
flower,2002,15,1571
flower,2003,12,1912
flower,2004,16,1247
flower,2005,14,1116
flower,2006,21,1584
flower,2007,18,1279
flower,2008,14,1157
flower,2009,21,1970
flower,2010,17,1002
flower,2011,13,483
flower,2012,18,1265
flower,2013,20,906
flower,2014,23,1200
flower,2015,28,6090
flower,2016,24,1290
flower,2017,29,905
flower,2018,28,705
flower,2019,29,938
flower,2020,32,1268
flower,2021,31,468
flower,2022,25,198
flower,2023,19,52
flower,2024,7,17
insect,1949,1,23
insect,1963,1,21
insect,1966,1,23
insect,1967,1,81
insect,1972,2,365
insect,1973,2,184
insect,1975,1,261
insect,1976,2,77
insect,1979,3,47
insect,1980,1,37
insect,1981,2,65
insect,1982,1,5
insect,1983,2,1446
insect,1984,3,118
insect,1985,6,195
insect,1986,3,97
insect,1987,2,2
insect,1988,2,257
insect,1989,3,86
insect,1990,7,785
insect,1991,1,9
insect,1992,3,15
insect,1993,9,1050
insect,1994,6,355
insect,1995,7,601
insect,1996,12,774
insect,1997,7,633
insect,1998,11,665
insect,1999,10,632
insect,2000,10,748
insect,2001,10,639
insect,2002,13,1914
insect,2003,9,273
insect,2004,9,1665
insect,2005,21,1632
insect,2006,7,1314
insect,2007,16,2575
insect,2008,12,985
insect,2009,10,752
insect,2010,21,2447
insect,2011,14,1090
insect,2012,23,2141
insect,2013,27,2524
insect,2014,27,2652
insect,2015,24,1651
insect,2016,30,2801
insect,2017,14,1363
insect,2018,35,1569
insect,2019,26,793
insect,2020,34,1382
insect,2021,35,830
insect,2022,25,315
insect,2023,24,307
insect,2024,10,29
diversity,1961,1,5
diversity,1986,1,2
diversity,1988,1,301
diversity,1989,3,206
diversity,1990,1,527
diversity,1991,1,2
diversity,1992,3,80
diversity,1993,3,853
diversity,1994,1,7
diversity,1996,2,1235
diversity,1997,1,33
diversity,1998,3,59
diversity,1999,5,880
diversity,2000,3,240
diversity,2001,5,2441
diversity,2002,6,1196
diversity,2003,7,1694
diversity,2004,5,1226
diversity,2005,11,3577
diversity,2006,12,1845
diversity,2007,17,2208
diversity,2008,19,3585
diversity,2009,22,3323
diversity,2010,21,3015
diversity,2011,20,2939
diversity,2012,25,2257
diversity,2013,30,2377
diversity,2014,16,1175
diversity,2015,24,2324
diversity,2016,28,1558
diversity,2017,39,3741
diversity,2018,24,2855
diversity,2019,27,2001
diversity,2020,27,752
diversity,2021,40,1447
diversity,2022,37,506
diversity,2023,22,135
diversity,2024,7,11
landscape,1997,2,80
landscape,1999,3,1398
landscape,2000,4,711
landscape,2001,3,2642
landscape,2002,1,48
landscape,2003,6,2123
landscape,2004,10,1259
landscape,2005,14,3392
landscape,2006,10,3808
landscape,2007,10,9809
landscape,2008,21,4868
landscape,2009,19,4922
landscape,2010,23,2484
landscape,2011,19,2555
landscape,2012,27,2380
landscape,2013,20,2750
landscape,2014,14,1177
landscape,2015,28,2753
landscape,2016,26,2038
landscape,2017,27,1884
landscape,2018,33,3128
landscape,2019,33,1816
landscape,2020,29,903
landscape,2021,31,868
landscape,2022,27,248
landscape,2023,20,127
landscape,2024,10,37
crop,1967,1,62
crop,1977,1,75
crop,1979,1,61
crop,1980,1,8
crop,1983,1,54
crop,1986,1,88
crop,1987,3,183
crop,1988,2,28
crop,1990,2,99
crop,1991,2,102
crop,1992,1,60
crop,1993,4,115
crop,1995,1,3
crop,1996,3,138
crop,1997,3,187
crop,1998,6,1474
crop,1999,1,70
crop,2000,4,1558
crop,2001,1,1
crop,2002,4,716
crop,2003,5,943
crop,2004,5,905
crop,2005,7,943
crop,2006,7,384
crop,2007,10,8809
crop,2008,18,4723
crop,2009,10,2126
crop,2010,8,643
crop,2011,13,650
crop,2012,12,1085
crop,2013,20,5115
crop,2014,21,2951
crop,2015,16,2932
crop,2016,20,1941
crop,2017,23,1699
crop,2018,28,2406
crop,2019,31,2918
crop,2020,26,1967
crop,2021,26,453
crop,2022,44,482
crop,2023,18,101
crop,2024,11,34
forest,1959,1,2
forest,1978,1,629
forest,1979,2,51
forest,1980,1,23
forest,1982,2,290
forest,1983,1,193
forest,1984,3,320
forest,1985,2,76
forest,1986,1,121
forest,1987,1,3
forest,1988,2,411
forest,1989,2,40
forest,1990,3,297
forest,1991,3,224
forest,1992,2,165
forest,1993,6,283
forest,1994,4,209
forest,1995,4,339
forest,1996,4,875
forest,1997,6,468
forest,1998,3,558
forest,1999,6,241
forest,2000,11,547
forest,2001,3,104
forest,2002,7,763
forest,2003,5,554
forest,2004,12,2670
forest,2005,16,2054
forest,2006,9,444
forest,2007,11,595
forest,2008,18,1080
forest,2009,11,1473
forest,2010,9,710
forest,2011,11,714
forest,2012,21,2713
forest,2013,19,834
forest,2014,21,1014
forest,2015,16,851
forest,2016,20,1096
forest,2017,17,1298
forest,2018,19,517
forest,2019,17,386
forest,2020,22,597
forest,2021,19,252
forest,2022,21,328
forest,2023,16,64
forest,2024,2,4
apis,1975,1,7
apis,1976,1,1
apis,1981,1,75
apis,1983,1,1
apis,1984,3,279
apis,1985,6,487
apis,1986,2,93
apis,1987,3,43
apis,1988,1,3
apis,1990,1,31
apis,1991,3,61
apis,1993,1,16
apis,1994,3,195
apis,1995,2,10
apis,1996,1,35
apis,1997,2,78
apis,1998,3,32
apis,1999,2,412
apis,2000,2,418
apis,2001,5,213
apis,2002,3,435
apis,2003,7,375
apis,2004,5,384
apis,2005,18,1276
apis,2006,10,2559
apis,2007,12,835
apis,2008,15,1618
apis,2009,19,1601
apis,2010,13,1235
apis,2011,14,833
apis,2012,21,2098
apis,2013,31,3504
apis,2014,18,1080
apis,2015,19,1165
apis,2016,16,847
apis,2017,21,576
apis,2018,26,619
apis,2019,19,604
apis,2020,19,589
apis,2021,17,343
apis,2022,17,148
apis,2023,12,55
apis,2024,4,5
seed,1949,1,13
seed,1965,1,25
seed,1967,1,84
seed,1974,1,1
seed,1976,1,14
seed,1978,1,4
seed,1979,1,1
seed,1982,2,63
seed,1984,1,11
seed,1985,3,44
seed,1986,2,162
seed,1987,1,41
seed,1988,4,488
seed,1989,2,133
seed,1990,1,73
seed,1991,5,339
seed,1992,2,129
seed,1993,1,4
seed,1994,6,486
seed,1995,1,252
seed,1996,5,1050
seed,1997,4,154
seed,1998,4,714
seed,1999,6,1272
seed,2000,9,545
seed,2001,3,693
seed,2002,9,685
seed,2003,4,1016
seed,2004,9,285
seed,2005,9,853
seed,2006,9,572
seed,2007,8,853
seed,2008,12,1196
seed,2009,7,629
seed,2010,8,570
seed,2011,16,1310
seed,2012,14,576
seed,2013,15,598
seed,2014,18,658
seed,2015,15,1579
seed,2016,10,485
seed,2017,23,827
seed,2018,19,508
seed,2019,17,288
seed,2020,8,169
seed,2021,12,331
seed,2022,17,117
seed,2023,12,53
seed,2024,5,6
mellifera,1964,1,102
mellifera,1981,1,75
mellifera,1983,1,1
mellifera,1984,3,279
mellifera,1985,3,325
mellifera,1986,2,93
mellifera,1987,2,20
mellifera,1988,1,3
mellifera,1990,1,31
mellifera,1991,2,45
mellifera,1993,1,16
mellifera,1994,3,195
mellifera,1995,1,3
mellifera,1997,2,78
mellifera,1998,3,32
mellifera,1999,2,412
mellifera,2000,1,416
mellifera,2001,4,78
mellifera,2002,2,394
mellifera,2003,5,237
mellifera,2004,5,384
mellifera,2005,16,1226
mellifera,2006,9,2419
mellifera,2007,11,766
mellifera,2008,15,1618
mellifera,2009,15,1332
mellifera,2010,12,1076
mellifera,2011,13,813
mellifera,2012,16,1786
mellifera,2013,28,3378
mellifera,2014,17,1007
mellifera,2015,17,1080
mellifera,2016,16,847
mellifera,2017,18,491
mellifera,2018,22,510
mellifera,2019,18,594
mellifera,2020,15,558
mellifera,2021,16,328
mellifera,2022,15,132
mellifera,2023,12,55
mellifera,2024,4,5
apidae,1979,1,101
apidae,1980,1,18
apidae,1981,2,91
apidae,1982,3,251
apidae,1983,3,352
apidae,1984,1,269
apidae,1985,3,167
apidae,1986,3,111
apidae,1987,6,454
apidae,1988,2,84
apidae,1989,1,67
apidae,1990,5,136
apidae,1991,5,278
apidae,1992,3,150
apidae,1993,3,227
apidae,1994,1,155
apidae,1995,4,205
apidae,1996,3,53
apidae,1997,3,64
apidae,1998,2,45
apidae,1999,5,107
apidae,2000,4,446
apidae,2001,7,654
apidae,2002,1,41
apidae,2003,8,462
apidae,2004,13,865
apidae,2005,4,65
apidae,2006,6,297
apidae,2007,12,192
apidae,2008,14,890
apidae,2009,9,515
apidae,2010,10,769
apidae,2011,10,451
apidae,2012,19,909
apidae,2013,13,671
apidae,2014,15,285
apidae,2015,21,518
apidae,2016,10,232
apidae,2017,16,376
apidae,2018,9,150
apidae,2019,23,395
apidae,2020,15,132
apidae,2021,11,68
apidae,2022,12,90
apidae,2023,14,94
apidae,2024,1,1
nectar,1969,1,99
nectar,1976,2,120
nectar,1979,1,132
nectar,1980,1,71
nectar,1981,2,291
nectar,1982,1,110
nectar,1983,4,676
nectar,1984,2,270
nectar,1985,2,157
nectar,1986,3,338
nectar,1988,4,212
nectar,1989,1,65
nectar,1990,2,166
nectar,1991,2,511
nectar,1992,1,240
nectar,1993,9,396
nectar,1994,3,70
nectar,1995,4,335
nectar,1996,2,153
nectar,1997,1,27
nectar,1998,5,330
nectar,1999,5,373
nectar,2000,5,183
nectar,2001,4,448
nectar,2002,6,433
nectar,2003,6,827
nectar,2004,5,802
nectar,2005,9,1002
nectar,2006,8,483
nectar,2007,13,2365
nectar,2008,12,1021
nectar,2009,7,397
nectar,2010,8,300
nectar,2011,5,484
nectar,2012,8,726
nectar,2013,13,797
nectar,2014,8,623
nectar,2015,11,634
nectar,2016,13,1384
nectar,2017,15,805
nectar,2018,6,292
nectar,2019,10,531
nectar,2020,15,444
nectar,2021,17,315
nectar,2022,12,173
nectar,2023,11,51
nectar,2024,2,5
foraging,1974,1,8
foraging,1977,1,4287
foraging,1978,3,1141
foraging,1979,3,249
foraging,1980,4,605
foraging,1981,4,242
foraging,1982,1,110
foraging,1983,6,405
foraging,1984,5,3030
foraging,1985,4,331
foraging,1986,1,26
foraging,1987,4,36
foraging,1988,2,106
foraging,1989,4,176
foraging,1990,3,89
foraging,1991,5,353
foraging,1992,5,211
foraging,1993,3,143
foraging,1994,7,492
foraging,1995,7,310
foraging,1996,3,268
foraging,1997,3,699
foraging,1998,3,370
foraging,1999,6,385
foraging,2000,5,389
foraging,2001,7,1113
foraging,2002,4,1961
foraging,2003,6,798
foraging,2004,3,294
foraging,2005,4,190
foraging,2006,7,393
foraging,2007,8,2336
foraging,2008,6,422
foraging,2009,7,273
foraging,2010,6,239
foraging,2011,4,140
foraging,2012,9,2201
foraging,2013,13,491
foraging,2014,9,225
foraging,2015,9,556
foraging,2016,9,583
foraging,2017,12,522
foraging,2018,7,271
foraging,2019,19,580
foraging,2020,17,417
foraging,2021,6,97
foraging,2022,11,130
foraging,2023,7,36
tropical,1966,1,71
tropical,1978,1,629
tropical,1979,1,81
tropical,1982,3,330
tropical,1983,1,193
tropical,1984,3,285
tropical,1985,1,100
tropical,1988,2,19
tropical,1990,5,143
tropical,1991,1,37
tropical,1992,2,2738
tropical,1993,1,108
tropical,1994,3,75
tropical,1995,3,206
tropical,1996,3,223
tropical,1997,4,201
tropical,1998,1,1
tropical,1999,5,323
tropical,2000,4,145
tropical,2001,2,102
tropical,2002,3,890
tropical,2003,2,389
tropical,2004,12,3270
tropical,2005,8,1374
tropical,2006,6,300
tropical,2007,5,772
tropical,2008,8,1005
tropical,2009,8,1124
tropical,2010,10,915
tropical,2011,11,993
tropical,2012,13,2849
tropical,2013,11,1133
tropical,2014,18,543
tropical,2015,15,1072
tropical,2016,12,1190
tropical,2017,9,549
tropical,2018,12,387
tropical,2019,15,467
tropical,2020,15,638
tropical,2021,8,172
tropical,2022,17,295
tropical,2023,12,67
tropical,2024,1,1
interactions,1978,1,285
interactions,1983,1,63
interactions,1986,1,103
interactions,1989,1,68
interactions,1991,3,129
interactions,1992,3,210
interactions,1994,1,31
interactions,1995,2,52
interactions,1996,5,188
interactions,1997,1,1
interactions,1999,3,199
interactions,2000,3,104
interactions,2001,7,896
interactions,2002,7,323
interactions,2003,1,189
interactions,2004,5,1151
interactions,2005,4,349
interactions,2006,6,1189
interactions,2007,8,664
interactions,2008,7,3126
interactions,2009,8,333
interactions,2010,8,1720
interactions,2011,7,214
interactions,2012,11,1680
interactions,2013,10,1707
interactions,2014,16,773
interactions,2015,9,478
interactions,2016,14,1088
interactions,2017,16,796
interactions,2018,7,347
interactions,2019,11,231
interactions,2020,24,709
interactions,2021,12,184
interactions,2022,18,134
interactions,2023,15,113
interactions,2024,2,3
